type,2016,2017,2018,2019,2020,2021,2022,harga_rata_rata,nama_rumah,tipe_rumah,Lokasi,kt,km,grs,lt,lb
Rumah,1500000000,1680000000,1932000000,2126000000,2232000000,2344000000,2461000000,2039285714.28571,Cepat Rumah 2 Lantai Siap Kpr Di Cibubur Bebas Banjir,siap huni,Gunung Putri   ,3,3,2,144,102
Rumah,25000000000,28000000000,32200000000,35420000000,37191000000,39051000000,41004000000,33980857142.8571,Cepat Rumah Asri Dan Mewah Sentul  ,siap huni,Sentul   ,4,3,0,2200,650
Rumah,995000000,1115000000,1282000000,1410000000,1481000000,1555000000,1632000000,1352857142.85714,Cepat Rumah Cluster Daerah Kota Wisata   Bebas Banjir Siap Kpr Harga All In,siap huni,Gunung Putri   ,3,2,1,90,90
Rumah,610000000,684000000,786000000,865000000,908000000,953000000,1001000000,829571428.571429,Cepat Rumah Dekat Sukaraja Harga All In Kpr di Villa Indah Pangrango,siap huni,Cibinong   ,2,1,1,72,41
Rumah,5400000000,6048000000,6956000000,7651000000,8034000000,8435000000,8857000000,7340142857.14286,Cepat Rumah Mewah Dekat Gerbang Tol Ciawi 2 Harga All In Kpr,siap huni,Sukaraja   ,4,3,1,300,275
Rumah,350000000,392000000,451000000,496000000,521000000,547000000,575000000,476000000,Cepat Rumah Siap Huni Dekat BSD CPA3 3285,siap huni,Gunung Sindur   ,2,1,0,60,63
Rumah,7000000000,7840000000,9016000000,9918000000,10414000000,10935000000,11481000000,9514857142.85714,Cepat Villa Luas Murah,siap huni,Puncak   ,7,5,2,3700,1200
Rumah,1400000000,1568000000,1804000000,1984000000,2083000000,2187000000,2297000000,1903285714.28571,"CIRIMEKAR Residence
Perfect Living - Perfect Harmony",siap huni,Cibinong   ,4,3,2,96,100
Rumah,550000000,616000000,709000000,780000000,819000000,860000000,903000000,748142857.142857,Citra Indah,siap huni,Jonggol   ,3,2,0,70,60
Rumah,1100000000,1232000000,1417000000,1559000000,1637000000,1719000000,1805000000,1495571428.57143,CITRALAND CIBUBUR - MEGA CLUSTER MONTEVERDE,siap huni,Cileungsi   ,3,2,0,72,82
Rumah,2090000000,2341000000,2692000000,2962000000,3110000000,3265000000,3428000000,2841142857.14286,CITRALAND CIBUBUR - MEGA CLUSTER MONTEVERDE,siap huni,Cileungsi   ,3,3,0,200,139
Rumah,525000000,588000000,677000000,744000000,782000000,821000000,862000000,714142857.142857,CITRALAND CIBUBUR-MEGA CLUSTER MONTEVERDE,siap huni,Cileungsi   ,2,1,0,60,30
Rumah,670000000,751000000,863000000,950000000,997000000,1047000000,1099000000,911000000,CITRALAND CIBUBUR-MEGA CLUSTER MONTEVERDE,siap huni,Cileungsi   ,2,1,0,72,39
Rumah,1100000000,1232000000,1417000000,1559000000,1637000000,1719000000,1805000000,1495571428.57143,CITRALAND CIBUBUR-MEGA CLUSTER MONTEVERDE,siap huni,Cileungsi   ,3,2,0,90,82
Rumah,1350000000,1512000000,1739000000,1913000000,2009000000,2109000000,2215000000,1835285714.28571,CITRALAND CIBUBUR-MEGA CLUSTER MONTEVERDE,siap huni,Cileungsi   ,3,2,0,136,85
Rumah,1550000000,1736000000,1997000000,2197000000,2306000000,2422000000,2543000000,2107285714.28571,CITRALAND CIBUBUR-MEGA CLUSTER MONTEVERDE,siap huni,Cileungsi   ,2,2,0,136,114
Rumah,800000000,896000000,1031000000,1134000000,1191000000,1250000000,1313000000,1087857142.85714,Cluster Bukit Dago Residence  Gunung Sindur   ,siap huni,Parung Panjang   ,2,1,0,60,32
Rumah,900000000,1008000000,1160000000,1276000000,1339000000,1406000000,1477000000,1223714285.71429,Cluster DANUBE HIGHLAND Citra Sentul Raya,siap huni,Sentul City   ,2,2,1,84,42
Rumah,439000000,492000000,566000000,622000000,654000000,686000000,721000000,597142857.142857,Cluster Exclusive Klapanunggal Cileungsi,siap huni,Cileungsi   ,2,1,1,72,42
Rumah,6500000000,7280000000,8372000000,9210000000,9670000000,10154000000,10661000000,8835285714.28572,Cluster Hilltop Luas 372 M2 View Pegunungan  Sentul City,siap huni,Sentul City   ,3,2,2,372,250
Rumah,526000000,590000000,678000000,746000000,783000000,822000000,863000000,715428571.428572,cluster sakura Puri harmoni pasir mukti citeureup semi 2 lantai,siap huni,Citeureup   ,2,1,1,75,40
Rumah,1170000000,1311000000,1507000000,1658000000,1741000000,1828000000,1919000000,1590571428.57143,CUBUBUR KOTA WISATA Rumah Murah Bebas Banjir Dalam Kota Wisata Cibubur,siap huni,Kota Wisata   ,2,2,1,119,90
Rumah,1700000000,1904000000,2190000000,2409000000,2529000000,2656000000,2789000000,2311000000,Dekat Pemda    Jual Rumah SHM On Hand,siap huni,Cibinong   ,3,4,0,144,300
Rumah,1700000000,1904000000,2190000000,2409000000,2529000000,2656000000,2789000000,2311000000,Dekat Pemda    Strategis Rumah Dijual Legalitas SHM,siap huni,Cibinong   ,3,4,0,144,300
Rumah,1700000000,1904000000,2190000000,2409000000,2529000000,2656000000,2789000000,2311000000,Dekat Stadion Pakansari  Rumah Perumahan Akses Jalan 8 Meter,siap huni,Cibinong   ,3,3,0,144,300
Rumah,8000000000,8960000000,10304000000,11335000000,11902000000,12497000000,13121000000,10874142857.1429,Dijual cepat rumah baru di cluster sentul city jawa barat,siap huni,Sentul City   ,4,3,2,491,420
Rumah,410000000,460000000,529000000,581000000,610000000,641000000,673000000,557714285.714286,Dijual cepat rumah baru siap huni di Harvest city cileungsi,siap huni,Cileungsi   ,2,1,1,84,36
Rumah,875000000,980000000,1127000000,1240000000,1302000000,1367000000,1436000000,1189571428.57143,Dijual cepat rumah baru siap huni di sentul city  ,siap huni,Sentul City   ,2,1,1,90,75
Rumah,1290000000,1445000000,1662000000,1828000000,1920000000,2016000000,2116000000,1753857142.85714,Dijual Cepat Rumah Bebas Banjir di Grand Cibubur Country Siap Kpr,siap huni,Gunung Putri   ,3,2,1,150,101
Rumah,720000000,807000000,928000000,1021000000,1072000000,1125000000,1181000000,979142857.142857,Dijual Cepat Rumah Bebas Banjir Harga All In di Taman Cibinong,siap huni,Cibinong   ,2,2,1,72,60
Rumah,380000000,426000000,490000000,539000000,566000000,594000000,624000000,517000000,Dijual Cepat Rumah Dekat Mall Cibinong City di Jl Nurul Abror,siap huni,Cibinong   ,2,1,1,54,36
Rumah,3990000000,4469000000,5140000000,5654000000,5936000000,6233000000,6545000000,5423857142.85714,Dijual cepat rumah di boulevard kota wisata Cibubur,siap huni,Cileungsi   ,4,3,1,375,300
Rumah,2200000000,2464000000,2834000000,3117000000,3273000000,3437000000,3609000000,2990571428.57143,Dijual cepat rumah di cluster depan sentul city,siap huni,Sentul City   ,4,3,2,216,165
Rumah,3150000000,3528000000,4058000000,4463000000,4687000000,4921000000,5167000000,4282000000,Dijual cepat rumah di cluster depan sentul city  ,siap huni,Sentul City   ,4,3,2,290,180
Rumah,3200000000,3584000000,4122000000,4534000000,4761000000,4999000000,5249000000,4349857142.85714,Dijual cepat rumah di cluster sentul city  ,siap huni,Sentul City   ,4,3,2,240,210
Rumah,2000000000,2240000000,2576000000,2834000000,2976000000,3125000000,3281000000,2718857142.85714,Dijual cepat rumah di cluster sentul city   jawa barat,siap huni,Sentul City   ,4,3,2,200,170
Rumah,4150000000,4648000000,5346000000,5880000000,6174000000,6483000000,6807000000,5641142857.14286,Dijual cepat rumah di cluster sentul city   jawa barat,siap huni,Sentul City   ,4,5,2,409,300
Rumah,825000000,924000000,1063000000,1169000000,1228000000,1289000000,1354000000,1121714285.71429,Dijual Cepat Rumah di Sentul City,siap huni,Sentul City   ,2,2,1,105,70
Rumah,610000000,684000000,786000000,865000000,908000000,953000000,1001000000,829571428.571429,Dijual Cepat Rumah di Villa Indah Pangrango Harga All In Siap Kpr,siap huni,Cibinong   ,2,1,1,72,41
Rumah,3100000000,3472000000,3993000000,4393000000,4612000000,4843000000,5085000000,4214000000,Dijual cepat rumah fuly furnished siap huni di cluster depan sentul city,siap huni,Sentul City   ,3,3,2,224,200
Rumah,1350000000,1512000000,1739000000,1913000000,2009000000,2109000000,2215000000,1835285714.28571,Dijual cepat rumah hook di cluster sentul city  ,siap huni,Sentul City   ,3,3,1,133,90
Rumah,5750000000,6440000000,7406000000,8147000000,8554000000,8982000000,9431000000,7815714285.71429,Dijual Cepat Rumah Lux Di Citraland Cibubur,siap huni,Cileungsi   ,5,4,0,272,680
Rumah,800000000,896000000,1031000000,1134000000,1191000000,1250000000,1313000000,1087857142.85714,Dijual Cepat Rumah Mewah 2 Lt Parung Panjang  ,siap huni,Parung Panjang   ,2,2,0,60,61
Rumah,800000000,896000000,1031000000,1134000000,1191000000,1250000000,1313000000,1087857142.85714,Dijual Cepat Rumah Mewah 2 Lt Parung Panjang  ,siap huni,Parung Panjang   ,2,2,0,60,61
Rumah,3980000000,4458000000,5127000000,5639000000,5921000000,6217000000,6528000000,5410000000,Dijual Cepat Rumah Mewah di   Nirwana Residence Cluster The Cliff,siap huni,  Selatan   ,4,4,2,600,344
Rumah,4500000000,5040000000,5796000000,6376000000,6695000000,7030000000,7381000000,6116857142.85714,Dijual Cepat Rumah Mewah di Baranangsiang Indah ditengah Kota    Strategis,siap huni,Baranangsiang   ,4,7,0,323,358
Rumah,550000000,616000000,709000000,780000000,819000000,860000000,903000000,748142857.142857,Dijual Cepat Rumah Murah hanya 500 jutaan  di Griya Alam Sentul,siap huni,Sentul   ,2,1,1,84,60
Rumah,550000000,616000000,709000000,780000000,819000000,860000000,903000000,748142857.142857,Dijual Cepat Rumah Strategis 8 Menit Ke Stasiun Cilebut di Nuasa Alam,siap huni,Cilebut   ,2,2,1,87,80
Rumah,1200000000,1344000000,1546000000,1701000000,1786000000,1875000000,1969000000,1631571428.57143,Dijual Cepat Rumah Strategis di Cluster Ontario Harga All In,siap huni,Cileungsi   ,2,1,1,105,70
Rumah,750000000,840000000,966000000,1063000000,1116000000,1172000000,1231000000,1019714285.71429,Dijual Hunian Mewah 2 Lantai 700 Jutaan Dekat Bojonggede  ,siap huni,Tajur Halang   ,3,2,1,60,72
Rumah,500000000,560000000,644000000,709000000,744000000,782000000,821000000,680000000,"Dijual HUNIAN NYAMAN CIKEAS RESIDENCE 
 ( bisa CASH / KPR )",siap huni,Cikeas   ,2,1,1,70,36
Rumah,15000000000,16800000000,19320000000,21252000000,22315000000,23431000000,24602000000,20388571428.5714,Dijual Murah Dibawah Harga Pasaran. Rumah Luas SHM,siap huni,Tajur   ,6,5,5,1574,377
Rumah,670000000,751000000,863000000,950000000,997000000,1047000000,1099000000,911000000,Dijual Promo DP. 0.Rumah Mewah 2 Lantai Termurah Di Cibinong,siap huni,Cibinong   ,3,2,2,72,60
Rumah,1100000000,1232000000,1417000000,1559000000,1637000000,1719000000,1805000000,1495571428.57143,Dijual Rumah   Kota  Dekat Gerbang Tol Kayu Manis 1,siap huni,Tanah Sareal   ,3,3,0,104,140
Rumah,1350000000,1512000000,1739000000,1913000000,2009000000,2109000000,2215000000,1835285714.28571,Dijual Rumah  15 Menit Stadion Pakansari SHM,siap huni,Cibinong   ,3,2,0,160,240
Rumah,1300000000,1456000000,1675000000,1842000000,1934000000,2031000000,2133000000,1767285714.28571,Dijual Rumah 1 Lantai Dekat Stasiun Cilebut  ,siap huni,Sukaraja   ,3,4,0,236,90
Rumah,175000000,196000000,226000000,248000000,261000000,274000000,288000000,238285714.285714,Dijual Rumah 175 Juta Tipe 45 60 Bagus 2231th,siap huni,Jonggol   ,1,1,1,60,45
Rumah,1800000000,2016000000,2319000000,2551000000,2678000000,2812000000,2953000000,2447000000,Dijual Rumah 2 Lantai Ada Balkon Dengan Ruangan Yang Luas,siap huni,Bojong Gede   ,4,3,3,300,500
Rumah,575000000,644000000,741000000,815000000,856000000,899000000,944000000,782000000,Dijual Rumah 2 Lantai di Acropolis de wijaya  Cibinong Murah  bisa KPR,siap huni,Cibinong   ,2,2,1,60,50
Rumah,1500000000,1680000000,1932000000,2126000000,2232000000,2344000000,2461000000,2039285714.28571,Dijual Rumah 2 Lantai Di Dalam Cluster Kota Wisata Cibubur,siap huni,Gunung Putri   ,4,3,0,136,120
Rumah,1750000000,1960000000,2254000000,2480000000,2604000000,2734000000,2871000000,2379000000,Dijual Rumah 2 Lantai Di Kota Wisata Cibubur,siap huni,Gunung Putri   ,3,2,0,112,95
Rumah,6000000000,6720000000,7728000000,8501000000,8926000000,9373000000,9841000000,8155571428.57143,Dijual Rumah 2 Lantai Di Kota Wisata Cibubur,siap huni,Gunung Putri   ,5,4,0,400,500
Rumah,1800000000,2016000000,2319000000,2551000000,2678000000,2812000000,2953000000,2447000000,Dijual rumah 2 lantai di kotawisata  cibubur,siap huni,Ciangsana   ,2,1,1,120,88
Rumah,650000000,728000000,838000000,921000000,967000000,1016000000,1067000000,883857142.857143,Dijual Rumah 2 Lantai Di Limus Pratama Cileungsi  ,siap huni,Cileungsi   ,3,2,0,120,100
Rumah,1500000000,1680000000,1932000000,2126000000,2232000000,2344000000,2461000000,2039285714.28571,DiJual Rumah 2 Lantai di Lingkungan Asri Kota Wisata Cibubur,siap huni,Kota Wisata   ,3,3,2,120,135
Rumah,2100000000,2352000000,2705000000,2976000000,3125000000,3281000000,3445000000,2854857142.85714,Dijual Rumah 2 Lantai Di Taman Kenari Nusantara Cibubur,siap huni,Gunung Putri   ,6,5,0,189,220
Rumah,1590000000,1781000000,2048000000,2253000000,2366000000,2484000000,2608000000,2161428571.42857,Dijual Rumah 2 Lantai Hook di   Bukit Raya,siap huni,Cimahpar   ,3,2,1,197,350
Rumah,11000000000,12320000000,14168000000,15585000000,16365000000,17183000000,18042000000,14951857142.8571,Dijual Rumah 2 Tingkat Type Classic Di Sentul City  ,siap huni,Sentul City   ,6,5,2,543,495
Rumah,600000000,672000000,773000000,851000000,893000000,938000000,985000000,816000000,Dijual Rumah 2lt  Akses Dekat Pintu Tol Cijago,siap huni,Cibubur   ,3,2,2,60,66
Rumah,520000000,583000000,670000000,737000000,774000000,813000000,853000000,707142857.142857,Dijual Rumah Area   Dekat   Trade Mall btm,siap huni,Tamansari   ,3,1,1,110,75
Rumah,4200000000,4704000000,5410000000,5951000000,6249000000,6561000000,6889000000,5709142857.14286,Dijual rumah asri aman dan nyaman di sentul city  ,siap huni,Sentul City   ,5,4,2,440,290
Rumah,985000000,1104000000,1269000000,1396000000,1466000000,1539000000,1616000000,1339285714.28571,Dijual Rumah Bagus Bukit Golf Cibubur,siap huni,Gunung Putri   ,2,1,1,128,84
Rumah,450000000,504000000,580000000,638000000,670000000,703000000,739000000,612000000,Dijual Rumah Bagus Tipe 45 72 Full Renovasi 2229vdr,siap huni,Cileungsi   ,2,2,1,72,45
Rumah,120000000,135000000,155000000,171000000,179000000,188000000,197000000,163571428.571429,Dijual Rumah Bahan Gandengan Bisa Per Unit Citra Indah City,siap huni,Cileungsi   ,1,1,0,60,21
Rumah,6500000000,7280000000,8372000000,9210000000,9670000000,10154000000,10661000000,8835285714.28572,Dijual Rumah Baru Clauster Depan Kolam Renang Depan Green Area Sentul City,siap huni,Sentul City   ,6,6,2,313,360
Rumah,6750000000,7560000000,8694000000,9564000000,10042000000,10544000000,11071000000,9175000000,Dijual Rumah Baru Mewah 2 Lantai Siap Huni Cluster Casablanca Sentul City,siap huni,Sentul City   ,4,4,0,344,400
Rumah,1500000000,1680000000,1932000000,2126000000,2232000000,2344000000,2461000000,2039285714.28571,Dijual rumah baru scandinavian clauster depan Sentul city,siap huni,Sentul City   ,,,0,126,100
Rumah,650000000,728000000,838000000,921000000,967000000,1016000000,1067000000,883857142.857143,Dijual rumah baru siap huni 2lanti griya alam Sentul city,siap huni,Sentul City   ,,,0,60,80
Rumah,8000000000,8960000000,10304000000,11335000000,11902000000,12497000000,13121000000,10874142857.1429,Dijual Rumah Beserta 7 Unit Kontrakan di Jalan Pahlawan   ,siap huni,Bondongan   ,3,1,1,738,164
Rumah,165000000,185000000,213000000,234000000,246000000,258000000,271000000,224571428.571429,Dijual rumah Butuh Renovasi,butuh renovasi,Cileungsi   ,1,1,1,72,45
Rumah,165000000,185000000,213000000,234000000,246000000,258000000,271000000,224571428.571429,Dijual Rumah Butuh Renovasi daerah cileungsi,butuh renovasi,Cileungsi   ,1,1,1,72,45
Rumah,5000000000,5600000000,6440000000,7084000000,7439000000,7811000000,8201000000,6796428571.42857,Dijual rumah cantik dan asri di   NIRWANA RESIDEN,siap huni,  Nirwana Residence   ,5,4,0,350,
Rumah,1990000000,2229000000,2564000000,2820000000,2961000000,3109000000,3264000000,2705285714.28571,Dijual Rumah Cantik di Taman Yasmin  ,siap huni,Cilendek Timur   ,3,2,1,225,200
Rumah,585000000,656000000,754000000,829000000,871000000,914000000,960000000,795571428.571429,Dijual rumah cantik siap huni  Limus Pratama Regency,siap huni,Cileungsi   ,2,1,1,72,65
Rumah,471000000,528000000,607000000,668000000,701000000,736000000,773000000,640571428.571429,Dijual Rumah Cashback 1 Juta SHM 13 Menit Stasiun citayam,siap huni,Bojong Gede   ,2,1,0,60,36
Rumah,1300000000,1456000000,1675000000,1842000000,1934000000,2031000000,2133000000,1767285714.28571,Dijual Rumah Cibubur,siap huni,Cibubur   ,3,2,1,105,84
Rumah,630000000,706000000,812000000,893000000,938000000,985000000,1034000000,856857142.857143,Dijual Rumah Cibubur Cikeas  DOUBLE DINGDING LOKASI Strategis,siap huni,Cikeas   ,2,1,1,84,45
Rumah,600000000,672000000,773000000,851000000,893000000,938000000,985000000,816000000,Dijual Rumah Cibubur Cikeas  DOUBLE DINGDING LOKASI SUDAH DIHUNI 80% BEBAS BANJIR,siap huni,Cikeas   ,2,1,1,84,45
Rumah,320000000,359000000,413000000,454000000,477000000,500000000,525000000,435428571.428571,Dijual Rumah Ciputra Citra Indah City Ciputra Group,siap huni,Cileungsi   ,2,2,1,90,70
Rumah,800000000,896000000,1031000000,1134000000,1191000000,1250000000,1313000000,1087857142.85714,Dijual Rumah Cluster Daerah Jonggol 14 Menit Alun alun Jonggol,siap huni,Jonggol   ,3,2,1,150,120
Rumah,2500000000,2800000000,3220000000,3542000000,3720000000,3906000000,4101000000,3398428571.42857,Dijual Rumah Dan Kontrakan Kost di Cilendek Barat Kota  ,siap huni,Cilendek Barat   ,5,4,0,382,300
Rumah,410000000,460000000,529000000,581000000,610000000,641000000,673000000,557714285.714286,Dijual Rumah Dengan Desain Taman Estentik Murah Di Citra Indah City,siap huni,Jonggol   ,3,1,1,90,60
Rumah,1200000000,1344000000,1546000000,1701000000,1786000000,1875000000,1969000000,1631571428.57143,Dijual Rumah Depan Taman Citra Sentul Raya Cluster Orinoco ,siap huni,Sentul   ,2,1,1,84,49
Rumah,500000000,560000000,644000000,709000000,744000000,782000000,821000000,680000000,Dijual Rumah Depok Pinggir Jalan Raya 15 Menit Ke Tol Cimanggis,siap huni,Cibinong   ,3,2,2,60,66
Rumah,1200000000,1344000000,1546000000,1701000000,1786000000,1875000000,1969000000,1631571428.57143,Dijual Rumah Di Cibubur Country,siap huni,Cikeas   ,4,1,0,150,91
Rumah,1200000000,1344000000,1546000000,1701000000,1786000000,1875000000,1969000000,1631571428.57143,Dijual Rumah Di Cibubur Country,siap huni,Cikeas   ,4,1,0,150,91
Rumah,8000000000,8960000000,10304000000,11335000000,11902000000,12497000000,13121000000,10874142857.1429,Dijual Rumah Di Cluster Bgh  Sentul City Ssr323,siap huni,Sentul City   ,3,3,0,853,400
Rumah,1200000000,1344000000,1546000000,1701000000,1786000000,1875000000,1969000000,1631571428.57143,Dijual Rumah di Green valey SHM,siap huni,Sentul City   ,3,2,1,162,100
Rumah,1200000000,1344000000,1546000000,1701000000,1786000000,1875000000,1969000000,1631571428.57143,Dijual rumah di griya alam posisi hoek,siap huni,Sentul City   ,4,3,0,156,45
Rumah,1100000000,1232000000,1417000000,1559000000,1637000000,1719000000,1805000000,1495571428.57143,Dijual Rumah di Jl. Raya Montreal Kota Wisata,siap huni,Cileungsi   ,2,1,1,105,70
Rumah,6000000000,6720000000,7728000000,8501000000,8926000000,9373000000,9841000000,8155571428.57143,Dijual Rumah Di Kota Wisata Cibubur,siap huni,Gunung Putri   ,4,5,0,330,550
Rumah,3100000000,3472000000,3993000000,4393000000,4612000000,4843000000,5085000000,4214000000,Dijual rumah di perumahan Kota Wisata Cibubur,siap huni,Kota Wisata   ,4,4,3,300,262
Rumah,3200000000,3584000000,4122000000,4534000000,4761000000,4999000000,5249000000,4349857142.85714,Dijual rumah di perumahan Kota Wisata Cibubur,siap huni,Kota Wisata   ,5,5,2,240,400
Rumah,3300000000,3696000000,4251000000,4676000000,4910000000,5155000000,5413000000,4485857142.85714,Dijual rumah di perumahan Kota Wisata Cibubur,siap huni,Kota Wisata   ,3,3,2,242,180
Rumah,1000000000,1120000000,1288000000,1417000000,1488000000,1563000000,1641000000,1359571428.57143,Dijual rumah di perumahan Legenda Wisata Cibubur,siap huni,Legenda Wisata   ,2,1,1,120,60
Rumah,2850000000,3192000000,3671000000,4038000000,4240000000,4452000000,4675000000,3874000000,Dijual rumah di perumahan Legenda Wisata Cibubur,siap huni,Legenda Wisata   ,5,3,3,240,248
Rumah,4500000000,5040000000,5796000000,6376000000,6695000000,7030000000,7381000000,6116857142.85714,Dijual Rumah di Puri satria imperial golf SHM Sudah Renovasi,siap huni,Sentul City   ,4,4,1,374,350
Rumah,285000000,320000000,368000000,404000000,424000000,446000000,468000000,387857142.857143,Dijual Rumah Full Renovasi Bebas Banjir Ciputra Citra Indah City,siap huni,Cileungsi   ,2,1,1,72,50
Rumah,435000000,488000000,561000000,617000000,648000000,680000000,714000000,591857142.857143,Dijual Rumah Full Renovasi Di Citra Indah City Jonggol  ,siap huni,Jonggol   ,2,2,1,72,60
Rumah,22000000000,24640000000,28336000000,31170000000,32729000000,34365000000,36083000000,29903285714.2857,Dijual Rumah Halaman Luas hook  Dekat Exit Tol Sentul City   ,siap huni,Sentul City   ,4,7,4,2916,600
Rumah,820000000,919000000,1057000000,1162000000,1220000000,1281000000,1345000000,1114857142.85714,Dijual Rumah Hemat 50 Juta di Natura Serpong,siap huni,Gunung Sindur   ,2,1,1,72,34
